Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Washington Park,"Beautiful park with fantastic running trails, playgrounds, and fishing lakes!",39.7002,-104.9687,"https://en.wikipedia.org/wiki/Washington_Park,_Denver",https://upload.wikimedia.org/wikipedia/commons/4/4e/Washington_Park_Denver.JPG
Breckenridge Ski Resort,A world-renowned ski resort in Colorado,39.4783,-106.0723,https://www.breckenridge.com/,https://uploads-ssl.webflow.com/639f87790db277ecc6d6ad59/639f8a4f7670a1ada14348b3_6386d04fc6141968ab7cbdd5_Aspire-Tours_Breckenridge%2520Article-Main%2520Image-web.jpeg
Seattle,"One of the most beautiful, diverse, and fun cities in the Pacific Northwest!",47.6062,-122.3321,https://en.wikipedia.org/wiki/Seattle,https://wheatlesswanderlust.com/wp-content/uploads/2022/12/Seattle-at-Sunset-from-Kerry-Park.jpg
Newport Beach,Thriving city along the coast of Southern California with great surfing!,33.6189,-117.9289,"https://en.wikipedia.org/wiki/Newport_Beach,_California",https://static.independent.co.uk/2023/07/27/12/iStock-1210240213%20%281%29.jpg
